Variables = x, y, u, v, p

Zone, I=400, F=POINT
          20            0  3.25904e-18 -2.43009e-26   0.00191304 
          20     0.000471  0.000331789  2.50924e-09   0.00191305 
          20     0.001884    0.0013267  4.01091e-08   0.00191308 
          20     0.004239   0.00298334  2.02505e-07   0.00191313 
          20     0.007537   0.00530013  6.37685e-07    0.0019132 
          20     0.011776   0.00827242  1.54882e-06    0.0019133 
          20     0.016958    0.0118975  3.19188e-06   0.00191341 
          20     0.023081    0.0161688  5.86923e-06   0.00191354 
          20      0.03015    0.0210836   9.9285e-06   0.00191368 
          20     0.038157    0.0266294  1.57448e-05   0.00191384 
          20     0.047107    0.0328013  2.37276e-05   0.00191402 
          20     0.056999     0.039589  3.42999e-05    0.0019142 
          20     0.067837    0.0469845  4.78964e-05   0.00191439 
          20     0.079614    0.0549704  6.49305e-05    0.0019146 
          20     0.092332    0.0635342  8.58026e-05    0.0019148 
          20     0.105992    0.0726603  0.000110872   0.00191502 
          20       0.1206    0.0823344  0.000140448   0.00191523 
          20     0.136145    0.0925287  0.000174719   0.00191545 
          20     0.152631     0.103223  0.000213793   0.00191568 
          20     0.170067     0.114397  0.000257656   0.00191591 
          20     0.188438     0.126013  0.000306071   0.00191615 
          20     0.207751     0.138045   0.00035866    0.0019164 
          20     0.228006     0.150462  0.000414824   0.00191666 
          20     0.249212     0.163236  0.000473768   0.00191694 
          20     0.271351     0.176325  0.000534396   0.00191724 
          20     0.294433     0.189706  0.000595524   0.00191758 
          20     0.318456     0.203353  0.000655784   0.00191796 
          20     0.343432     0.217253  0.000713764   0.00191837 
          20     0.369339     0.231387  0.000768014   0.00191884 
          20     0.396189     0.245761   0.00081733   0.00191936 
          20     0.423981     0.260388   0.00086077   0.00191994 
          20     0.452726       0.2753  0.000897817   0.00192057 
          20     0.482403     0.290519  0.000928396   0.00192126 
          20     0.513021     0.306095  0.000952992   0.00192199 
          20     0.544594     0.322077  0.000972558   0.00192277 
          20     0.577096     0.338496  0.000988397   0.00192358 
          20     0.610541     0.355393   0.00100203   0.00192442 
