Variables = x, y, u, v, p

Zone, I=1000, F=POINT
         -30            0  3.60992e-16 -1.75494e-28  -0.00931558 
         -30      7.5e-05  4.46995e-05  2.78361e-12  -0.00931558 
         -30       0.0003  0.000178798  4.45383e-11  -0.00931558 
         -30     0.000676  0.000402893  2.26146e-10  -0.00931558 
         -30     0.001202  0.000716388  7.15009e-10  -0.00931558 
         -30     0.001878   0.00111928  1.74543e-09  -0.00931558 
         -30     0.002705   0.00161218  3.62122e-09  -0.00931557 
         -30     0.003682   0.00219448  6.70964e-09  -0.00931557 
         -30     0.004809   0.00286619   1.1446e-08  -0.00931557 
         -30     0.006087   0.00362791  1.83386e-08  -0.00931557 
         -30     0.007515   0.00447903  2.79534e-08  -0.00931557 
         -30     0.009093   0.00541958   4.0927e-08  -0.00931557 
         -30     0.010821   0.00644954   5.7963e-08  -0.00931557 
         -30       0.0127   0.00756952  7.98445e-08  -0.00931556 
         -30     0.014729   0.00877893  1.07401e-07  -0.00931556 
         -30     0.016908    0.0100778  1.41537e-07  -0.00931556 
         -30     0.019238    0.0114666  1.83246e-07  -0.00931556 
         -30     0.021718     0.012945  2.33552e-07  -0.00931556 
         -30     0.024348    0.0145127  2.93563e-07  -0.00931555 
         -30     0.027129    0.0161705   3.6448e-07  -0.00931555 
         -30      0.03006    0.0179178  4.47526e-07  -0.00931555 
         -30     0.033141    0.0197545  5.44011e-07  -0.00931554 
         -30     0.036372    0.0216807  6.55312e-07  -0.00931554 
         -30     0.039754     0.023697  7.82915e-07  -0.00931554 
         -30     0.043286    0.0258028  9.28301e-07  -0.00931553 
         -30     0.046968     0.027998  1.09305e-06  -0.00931553 
         -30     0.050801    0.0302833  1.27886e-06  -0.00931553 
         -30     0.054784    0.0326582  1.48742e-06  -0.00931552 
         -30     0.058917    0.0351225   1.7205e-06  -0.00931552 
         -30     0.063201     0.037677  1.98002e-06  -0.00931551 
         -30     0.067635    0.0403209  2.26785e-06  -0.00931551 
         -30     0.072219    0.0430544  2.58598e-06  -0.00931551 
         -30     0.076953    0.0458774  2.93647e-06   -0.0093155 
         -30     0.081838    0.0487905  3.32153e-06   -0.0093155 
         -30     0.086873    0.0517932  3.74329e-06  -0.00931549 
         -30     0.092058    0.0548853    4.204e-06  -0.00931549 
         -30     0.097394    0.0580676   4.7061e-06  -0.00931548 
         -30      0.10288    0.0613394  5.25191e-06  -0.00931548 
         -30     0.108516    0.0647008  5.84389e-06  -0.00931547 
         -30     0.114303    0.0681522  6.48469e-06  -0.00931546 
         -30      0.12024    0.0716931  7.17682e-06  -0.00931546 
         -30     0.126327    0.0753236  7.92296e-06  -0.00931545 
         -30     0.132564    0.0790435  8.72585e-06  -0.00931545 
         -30     0.138952    0.0828534  9.58844e-06  -0.00931544 
         -30      0.14549    0.0867528  1.05135e-05  -0.00931543 
         -30     0.152178    0.0907416  1.15039e-05  -0.00931543 
         -30     0.159017    0.0948203  1.25629e-05  -0.00931542 
         -30     0.166006    0.0989884  1.36934e-05  -0.00931541 
         -30     0.173145     0.103246  1.48986e-05   -0.0093154 
         -30     0.180435     0.107593  1.61818e-05   -0.0093154 
         -30     0.187875     0.112029  1.75461e-05  -0.00931539 
         -30     0.195465     0.116555   1.8995e-05  -0.00931538 
         -30     0.203205      0.12117  2.05317e-05  -0.00931537 
         -30     0.211096     0.125874  2.21601e-05  -0.00931537 
         -30     0.219137     0.130667  2.38833e-05  -0.00931536 
