Variables = x, y, u, v, p

Zone, I=1000, F=POINT
          50            0  2.60692e-18 -6.78802e-30    -0.008974 
          50      7.5e-05  3.97043e-05  1.99661e-12    -0.008974 
          50       0.0003  0.000158817  3.19469e-11    -0.008974 
          50     0.000676  0.000357869  1.62211e-10    -0.008974 
          50     0.001202   0.00063633  5.12857e-10    -0.008974 
          50     0.001878  0.000994202  1.25192e-09    -0.008974 
          50     0.002705   0.00143202  2.59727e-09    -0.008974 
          50     0.003682   0.00194925  4.81224e-09  -0.00897399 
          50     0.004809   0.00254589  8.20891e-09  -0.00897399 
          50     0.006087   0.00322248  1.31516e-08  -0.00897399 
          50     0.007515    0.0039785  2.00459e-08  -0.00897399 
          50     0.009093   0.00481393  2.93478e-08  -0.00897399 
          50     0.010821    0.0057288  4.15614e-08  -0.00897399 
          50       0.0127   0.00672363  5.72476e-08  -0.00897399 
          50     0.014729   0.00779789  7.69997e-08  -0.00897399 
          50     0.016908   0.00895159  1.01466e-07  -0.00897399 
          50     0.019238    0.0101853  1.31355e-07  -0.00897398 
          50     0.021718    0.0114984  1.67401e-07  -0.00897398 
          50     0.024348     0.012891  2.10396e-07  -0.00897398 
          50     0.027129    0.0143635  2.61197e-07  -0.00897398 
          50      0.03006    0.0159155  3.20678e-07  -0.00897398 
          50     0.033141     0.017547  3.89773e-07  -0.00897397 
          50     0.036372     0.019258  4.69466e-07  -0.00897397 
          50     0.039754     0.021049  5.60815e-07  -0.00897397 
          50     0.043286    0.0229195  6.64876e-07  -0.00897397 
          50     0.046968    0.0248694  7.82775e-07  -0.00897396 
          50     0.050801    0.0268994  9.15723e-07  -0.00897396 
          50     0.054784    0.0290089  1.06491e-06  -0.00897396 
          50     0.058917    0.0311979  1.23161e-06  -0.00897396 
          50     0.063201     0.033467  1.41718e-06  -0.00897395 
          50     0.067635    0.0358156  1.62294e-06  -0.00897395 
          50     0.072219    0.0382437  1.85032e-06  -0.00897395 
          50     0.076953    0.0407513  2.10076e-06  -0.00897394 
          50     0.081838     0.043339  2.37584e-06  -0.00897394 
          50     0.086873    0.0460063  2.67706e-06  -0.00897394 
          50     0.092058    0.0487531  3.00602e-06  -0.00897393 
          50     0.097394      0.05158  3.36444e-06  -0.00897393 
          50      0.10288    0.0544864  3.75395e-06  -0.00897392 
          50     0.108516    0.0574724   4.1763e-06  -0.00897392 
          50     0.114303    0.0605385  4.63336e-06  -0.00897392 
          50      0.12024    0.0636841  5.12689e-06  -0.00897391 
          50     0.126327    0.0669093  5.65877e-06  -0.00897391 
          50     0.132564     0.070214  6.23095e-06   -0.0089739 
          50     0.138952    0.0735988  6.84549e-06   -0.0089739 
          50      0.14549     0.077063  7.50432e-06  -0.00897389 
          50     0.152178    0.0806068  8.20952e-06  -0.00897389 
          50     0.159017    0.0842307  8.96331e-06  -0.00897388 
          50     0.166006     0.087934  9.76776e-06  -0.00897388 
          50     0.173145    0.0917167  1.06251e-05  -0.00897387 
          50     0.180435    0.0955794  1.15376e-05  -0.00897387 
          50     0.187875    0.0995215  1.25075e-05  -0.00897386 
          50     0.195465     0.103543  1.35373e-05  -0.00897386 
          50     0.203205     0.107644  1.46291e-05  -0.00897385 
          50     0.211096     0.111824  1.57856e-05  -0.00897385 
          50     0.219137     0.116084  1.70093e-05  -0.00897384 
          50     0.227328     0.120423  1.83024e-05  -0.00897384 
          50      0.23567     0.124842  1.96679e-05  -0.00897383 
          50     0.244162      0.12934   2.1108e-05  -0.00897382 
          50     0.252804     0.133916  2.26256e-05  -0.00897382 
          50     0.261597     0.138572  2.42233e-05  -0.00897381 
          50      0.27054     0.143307  2.59038e-05  -0.00897381 
          50     0.279633     0.148121  2.76699e-05   -0.0089738 
          50     0.288876     0.153013  2.95243e-05  -0.00897379 
          50      0.29827     0.157984    3.147e-05  -0.00897379 
          50     0.307814     0.163033  3.35098e-05  -0.00897378 
          50     0.317509     0.168161  3.56467e-05  -0.00897377 
          50     0.327353     0.173367  3.78832e-05  -0.00897377 
          50     0.337348     0.178651  4.02229e-05  -0.00897376 
          50     0.347493     0.184012  4.26683e-05  -0.00897375 
          50     0.357789     0.189451  4.52229e-05  -0.00897374 
          50     0.368235     0.194968  4.78894e-05  -0.00897374 
          50     0.378831     0.200561  5.06709e-05  -0.00897373 
          50     0.389577     0.206232  5.35706e-05  -0.00897372 
          50     0.400474     0.211979  5.65917e-05  -0.00897371 
          50     0.411521     0.217802  5.97373e-05  -0.00897371 
          50     0.422719     0.223701  6.30107e-05   -0.0089737 
          50     0.434066     0.229675  6.64145e-05  -0.00897369 
          50     0.445564     0.235725  6.99526e-05  -0.00897368 
          50     0.457213      0.24185  7.36282e-05  -0.00897367 
          50     0.469011     0.248048  7.74438e-05  -0.00897366 
          50      0.48096     0.254321  8.14033e-05  -0.00897366 
          50     0.493059     0.260667  8.55096e-05  -0.00897365 
          50     0.505309     0.267086  8.97662e-05  -0.00897364 
          50     0.517708     0.273577  9.41757e-05  -0.00897363 
          50     0.530258      0.28014   9.8742e-05  -0.00897362 
          50     0.542959     0.286774  0.000103468  -0.00897361 
          50     0.555809     0.293478  0.000108357   -0.0089736 
          50      0.56881     0.300252  0.000113412  -0.00897359 
          50     0.581962     0.307096  0.000118636  -0.00897358 
          50     0.595263     0.314007  0.000124032  -0.00897357 
          50     0.608715     0.320986  0.000129604  -0.00897356 
          50     0.622317     0.328031  0.000135353  -0.00897355 
          50      0.63607     0.335142  0.000141285  -0.00897354 
          50     0.649972     0.342316    0.0001474  -0.00897353 
          50     0.664026     0.349556  0.000153702  -0.00897352 
          50     0.678229     0.356857  0.000160194  -0.00897351 
          50     0.692583      0.36422  0.000166878   -0.0089735 
          50     0.707087     0.371642  0.000173758  -0.00897349 
          50     0.721741     0.379124  0.000180835  -0.00897348 
          50     0.736545     0.386663  0.000188112  -0.00897347 
          50       0.7515     0.394258  0.000195591  -0.00897346 
          50     0.766605     0.401908  0.000203275  -0.00897345 
          50     0.781861     0.409612  0.000211166  -0.00897343 
          50     0.797267     0.417367  0.000219265  -0.00897342 
          50     0.812823     0.425172  0.000227575  -0.00897341 
          50     0.828529     0.433025  0.000236097   -0.0089734 
          50     0.844386     0.440925  0.000244833  -0.00897339 
          50     0.860393      0.44887  0.000253783  -0.00897337 
          50      0.87655     0.456857   0.00026295  -0.00897336 
          50     0.892858     0.464886  0.000272334  -0.00897335 
          50     0.909315     0.472952  0.000281936  -0.00897334 
          50     0.925924     0.481056  0.000291757  -0.00897332 
          50     0.942682     0.489193  0.000301797  -0.00897331 
          50     0.959591     0.497363  0.000312056   -0.0089733 
          50      0.97665     0.505562  0.000322534  -0.00897328 
          50     0.993859     0.513788  0.000333231  -0.00897327 
          50      1.01122     0.522039  0.000344146  -0.00897325 
          50      1.02873     0.530312  0.000355278  -0.00897324 
          50      1.04639     0.538603  0.000366627  -0.00897322 
          50       1.0642     0.546912   0.00037819  -0.00897321 
