Variables = x, y, u, v, p

Zone, I=400, F=POINT
         -50            0  3.81067e-16 -2.25437e-23  -0.00942222 
         -50     0.000471  0.000291582  1.12603e-10  -0.00942222 
         -50     0.001884   0.00116633  2.00859e-09  -0.00942222 
         -50     0.004239   0.00262422  1.03616e-08  -0.00942221 
         -50     0.007537   0.00466589   3.2965e-08  -0.00942221 
         -50     0.011776   0.00729009  8.06904e-08  -0.00942221 
         -50     0.016958    0.0104981   1.6753e-07   -0.0094222 
         -50     0.023081    0.0142886  3.10492e-07   -0.0094222 
         -50      0.03015    0.0186647  5.29852e-07  -0.00942219 
         -50     0.038157    0.0236215  8.48601e-07  -0.00942218 
         -50     0.047107     0.029162  1.29328e-06  -0.00942217 
         -50     0.056999    0.0352857  1.89336e-06  -0.00942216 
         -50     0.067837    0.0419948  2.68179e-06  -0.00942215 
         -50     0.079614    0.0492849  3.69374e-06  -0.00942214 
         -50     0.092332    0.0571573  4.96807e-06  -0.00942214 
         -50     0.105992    0.0656122  6.54666e-06  -0.00942213 
         -50       0.1206    0.0746531  8.47526e-06  -0.00942213 
         -50     0.136145    0.0842728  1.08004e-05  -0.00942213 
         -50     0.152631    0.0944731  1.35734e-05  -0.00942214 
         -50     0.170067     0.105259    1.685e-05  -0.00942215 
         -50     0.188438      0.11662  2.06844e-05  -0.00942218 
         -50     0.207751     0.128559  2.51374e-05  -0.00942221 
         -50     0.228006     0.141075  3.02716e-05  -0.00942225 
         -50     0.249212     0.154171   3.6155e-05  -0.00942231 
         -50     0.271351     0.167833  4.28502e-05  -0.00942238 
         -50     0.294433     0.182064  5.04302e-05  -0.00942247 
         -50     0.318456     0.196859  5.89665e-05  -0.00942258 
         -50     0.343432     0.212221  6.85383e-05  -0.00942272 
         -50     0.369339     0.228129  7.92128e-05  -0.00942287 
         -50     0.396189     0.244585  9.10716e-05  -0.00942306 
         -50     0.423981     0.261578  0.000104192  -0.00942327 
         -50     0.452726     0.279106  0.000118659  -0.00942352 
         -50     0.482403     0.297144  0.000134538   -0.0094238 
         -50     0.513021     0.315684  0.000151912  -0.00942412 
         -50     0.544594     0.334719  0.000170863  -0.00942448 
         -50     0.577096     0.354214  0.000191448  -0.00942487 
         -50     0.610541     0.374156  0.000213744  -0.00942531 
         -50     0.644927     0.394521  0.000237813  -0.00942579 
         -50      0.68027     0.415291  0.000263723  -0.00942631 
         -50     0.716541     0.436417  0.000291503  -0.00942687 
         -50     0.753754     0.457875  0.000321202  -0.00942747 
         -50     0.791909     0.479626   0.00035285  -0.00942811 
         -50     0.831022     0.501636  0.000386476  -0.00942878 
         -50     0.871061     0.523841  0.000422054  -0.00942948 
         -50     0.912043     0.546201  0.000459585   -0.0094302 
         -50     0.953966     0.568659  0.000499034  -0.00943094 
