Variables = x, y, u, v, p

Zone, I=400, F=POINT
          50            0  2.61656e-18 -4.70832e-30  -0.00741999 
          50     0.000471  0.000250266  7.87312e-11  -0.00741999 
          50     0.001884   0.00100107  1.25969e-09  -0.00741998 
          50     0.004239   0.00225242  6.37702e-09  -0.00741998 
          50     0.007537   0.00400486  2.01593e-08  -0.00741998 
          50     0.011776   0.00625737  4.92102e-08  -0.00741998 
          50     0.016958   0.00901103  1.02044e-07  -0.00741997 
          50     0.023081    0.0122648  1.89026e-07  -0.00741997 
          50      0.03015    0.0160215   3.2252e-07  -0.00741996 
          50     0.038157    0.0202767  5.16532e-07  -0.00741996 
          50     0.047107    0.0250334  7.87193e-07  -0.00741995 
          50     0.056999    0.0302909   1.1524e-06  -0.00741995 
          50     0.067837    0.0360514  1.63212e-06  -0.00741994 
          50     0.079614    0.0423113  2.24774e-06  -0.00741993 
          50     0.092332    0.0490716  3.02283e-06  -0.00741992 
          50     0.105992    0.0563329  3.98281e-06  -0.00741991 
          50       0.1206    0.0640982  5.15545e-06   -0.0074199 
          50     0.136145    0.0723617  6.56894e-06  -0.00741989 
          50     0.152631    0.0811252  8.25445e-06  -0.00741988 
          50     0.170067    0.0903933  1.02457e-05  -0.00741987 
          50     0.188438     0.100157  1.25756e-05  -0.00741985 
          50     0.207751     0.110421   1.5281e-05  -0.00741984 
          50     0.228006     0.121183     1.84e-05  -0.00741982 
          50     0.249212     0.132447  2.19737e-05  -0.00741981 
          50     0.271351     0.144203  2.60403e-05  -0.00741979 
          50     0.294433     0.156453  3.06444e-05  -0.00741978 
          50     0.318456     0.169196  3.58298e-05  -0.00741976 
          50     0.343432     0.182434  4.16448e-05  -0.00741974 
          50     0.369339     0.196153  4.81313e-05  -0.00741972 
          50     0.396189     0.210355  5.53399e-05  -0.00741971 
          50     0.423981     0.225035  6.33191e-05  -0.00741969 
          50     0.452726     0.240194   7.2122e-05  -0.00741967 
          50     0.482403     0.255815  8.17922e-05  -0.00741964 
          50     0.513021     0.271893  9.23823e-05  -0.00741962 
          50     0.544594     0.288428  0.000103948   -0.0074196 
          50     0.577096     0.305396  0.000116528  -0.00741958 
          50     0.610541     0.322793  0.000130177  -0.00741955 
          50     0.644927     0.340603  0.000144941  -0.00741953 
          50      0.68027     0.358821  0.000160873   -0.0074195 
          50     0.716541     0.377412  0.000178001  -0.00741947 
          50     0.753754     0.396365  0.000196371  -0.00741945 
          50     0.791909     0.415658  0.000216018  -0.00741942 
          50     0.831022     0.435274  0.000236981  -0.00741939 
          50     0.871061      0.45517  0.000259269  -0.00741936 
          50     0.912043     0.475323  0.000282907  -0.00741932 
          50     0.953966     0.495699  0.000307906  -0.00741929 
          50     0.996849     0.516272   0.00033428  -0.00741925 
          50      1.04066     0.536983  0.000361999  -0.00741922 
          50      1.08541       0.5578  0.000391056  -0.00741918 
          50      1.13112     0.578685  0.000421433  -0.00741914 
          50      1.17775     0.599572  0.000453065   -0.0074191 
          50      1.22533     0.620417  0.000485908  -0.00741906 
          50      1.27384     0.641165  0.000519893  -0.00741901 
          50      1.32333     0.661769  0.000554949  -0.00741897 
          50      1.37373     0.682151  0.000590951  -0.00741892 
          50      1.42507      0.70226  0.000627796  -0.00741887 
          50      1.47736     0.722034  0.000665357  -0.00741881 
          50      1.53061     0.741418  0.000703505  -0.00741876 
          50      1.58478     0.760335  0.000742052   -0.0074187 
          50      1.63989     0.778731  0.000780845  -0.00741863 
          50      1.69595     0.796548  0.000819703  -0.00741857 
          50      1.75297     0.813735  0.000858451   -0.0074185 
          50      1.81091     0.830228  0.000896866  -0.00741843 
          50      1.86979     0.845983  0.000934763  -0.00741836 
          50      1.92964     0.860966   0.00097196  -0.00741828 
          50       1.9904     0.875127   0.00100823   -0.0074182 
          50      2.05211     0.888443   0.00104341  -0.00741812 
          50      2.11476     0.900892   0.00107731  -0.00741803 
          50      2.17838     0.912466   0.00110978  -0.00741794 
          50      2.24291      0.92315   0.00114066  -0.00741785 
          50      2.30839     0.932951   0.00116982  -0.00741776 
          50       2.3748     0.941882   0.00119718  -0.00741766 
          50      2.44219     0.949966   0.00122266  -0.00741756 
          50      2.51049     0.957222   0.00124619  -0.00741745 
          50      2.57974      0.96369   0.00126776  -0.00741734 
          50      2.64993     0.969409   0.00128738  -0.00741723 
          50      2.72108     0.974426   0.00130508  -0.00741712 
          50      2.79315     0.978787   0.00132089    -0.007417 
          50      2.86617     0.982546   0.00133491  -0.00741688 
          50      2.94012     0.985757   0.00134723  -0.00741676 
          50      3.01505     0.988476   0.00135795  -0.00741664 
          50      3.09089     0.990754   0.00136718  -0.00741652 
          50      3.16767     0.992645   0.00137508   -0.0074164 
          50      3.24542     0.994199   0.00138177  -0.00741627 
          50      3.32409     0.995462   0.00138738  -0.00741615 
          50       3.4037     0.996478   0.00139204  -0.00741602 
          50      3.48425     0.997286   0.00139589  -0.00741588 
          50      3.56577     0.997922   0.00139903  -0.00741574 
          50       3.6482     0.998416   0.00140157   -0.0074156 
          50      3.73158     0.998796   0.00140362  -0.00741545 
          50       3.8159     0.999084   0.00140527  -0.00741531 
          50      3.90119     0.999299   0.00140659  -0.00741518 
          50       3.9874     0.999459   0.00140767  -0.00741507 
          50      4.07454     0.999576   0.00140856  -0.00741499 
          50      4.16263      0.99966   0.00140934  -0.00741486 
          50      4.25169      0.99972   0.00140992  -0.00741468 
          50      4.34166     0.999761   0.00141043  -0.00741448 
          50      4.43258      0.99979   0.00141087  -0.00741432 
          50      4.52447      0.99981   0.00141125  -0.00741417 
          50      4.61726     0.999823   0.00141159  -0.00741404 
          50        4.711     0.999832   0.00141189   -0.0074139 
          50      4.80569     0.999838   0.00141219  -0.00741375 
          50      4.90135     0.999841   0.00141249   -0.0074136 
          50      4.99791     0.999844    0.0014128  -0.00741344 
          50      5.09542     0.999845   0.00141311  -0.00741328 
          50      5.19387     0.999846    0.0014134  -0.00741313 
          50       5.2933     0.999847   0.00141368  -0.00741298 
          50      5.39364     0.999847   0.00141398  -0.00741282 
          50      5.49491     0.999847    0.0014143  -0.00741266 
          50      5.59713     0.999847   0.00141453  -0.00741251 
          50      5.70033     0.999848   0.00141489  -0.00741233 
          50      5.80443     0.999848   0.00141518  -0.00741216 
          50      5.90948     0.999848   0.00141546    -0.007412 
          50      6.01551     0.999848   0.00141577  -0.00741184 
          50      6.12244     0.999848   0.00141609  -0.00741167 
          50      6.23031     0.999848   0.00141642   -0.0074115 
          50      6.33912     0.999848   0.00141674  -0.00741134 
          50      6.44892     0.999848   0.00141704  -0.00741117 
          50      6.55962     0.999848   0.00141734    -0.007411 
          50      6.67126     0.999848   0.00141765  -0.00741083 
          50      6.78384     0.999848   0.00141799  -0.00741068 
          50      6.89741     0.999848   0.00141833   -0.0074105 
          50      7.01187     0.999848   0.00141864  -0.00741032 
          50      7.12728     0.999848   0.00141895  -0.00741014 
          50      7.24363     0.999848   0.00141929  -0.00740997 
          50      7.36097     0.999849   0.00141964  -0.00740979 
          50       7.4792     0.999848   0.00141996  -0.00740961 
          50      7.59838     0.999848   0.00142032  -0.00740944 
          50      7.71854     0.999848   0.00142064  -0.00740927 
          50       7.8396     0.999849   0.00142098  -0.00740909 
          50      7.96161     0.999849   0.00142134  -0.00740892 
          50      8.08455     0.999849   0.00142171  -0.00740874 
          50      8.20849     0.999849   0.00142208  -0.00740855 
          50      8.33332     0.999849   0.00142245  -0.00740836 
          50      8.45909     0.999849   0.00142281  -0.00740817 
          50       8.5858     0.999849    0.0014232  -0.00740795 
          50      8.71351     0.999849   0.00142357  -0.00740771 
          50       8.8421     0.999849   0.00142395  -0.00740751 
          50      8.97164     0.999849   0.00142434  -0.00740732 
          50      9.10212      0.99985   0.00142472  -0.00740714 
          50       9.2336      0.99985   0.00142509  -0.00740695 
          50      9.36596     0.999849   0.00142545  -0.00740675 
          50      9.49927     0.999849   0.00142581  -0.00740655 
          50      9.63352     0.999849   0.00142619  -0.00740635 
          50      9.76877     0.999849   0.00142658  -0.00740615 
          50       9.9049     0.999849   0.00142699  -0.00740595 
          50       10.042     0.999849   0.00142737  -0.00740574 
