Variables = x, y, u, v, p

Zone, I=400, F=POINT
         500            0  4.68243e-15 -2.20016e-25  -0.00471467 
         500     0.000471  0.000165445   2.6185e-11  -0.00471467 
         500     0.001884  0.000661792  4.19041e-10  -0.00471467 
         500     0.004239   0.00148907  2.12139e-09  -0.00471467 
         500     0.007537   0.00264769  6.70613e-09  -0.00471467 
         500     0.011776   0.00413702  1.63699e-08  -0.00471467 
         500     0.016958   0.00595786  3.39446e-08  -0.00471466 
         500     0.023081   0.00810962  6.28781e-08  -0.00471466 
         500      0.03015    0.0105942  1.07282e-07  -0.00471466 
         500     0.038157     0.013409  1.71815e-07  -0.00471466 
         500     0.047107    0.0165558   2.6184e-07  -0.00471466 
         500     0.056999    0.0200346  3.83307e-07  -0.00471465 
         500     0.067837     0.023847  5.42861e-07  -0.00471465 
         500     0.079614    0.0279907  7.47604e-07  -0.00471465 
         500     0.092332    0.0324668  1.00538e-06  -0.00471465 
         500     0.105992    0.0372757  1.32463e-06  -0.00471464 
         500       0.1206      0.04242  1.71462e-06  -0.00471464 
         500     0.136145     0.047896   2.1847e-06  -0.00471464 
         500     0.152631    0.0537053  2.74524e-06  -0.00471463 
         500     0.170067    0.0598516   3.4075e-06  -0.00471463 
         500     0.188438    0.0663296  4.18244e-06  -0.00471462 
         500     0.207751    0.0731422  5.08237e-06  -0.00471462 
         500     0.228006    0.0802897  6.11999e-06  -0.00471461 
         500     0.249212    0.0877753  7.30916e-06  -0.00471461 
         500     0.271351    0.0955928  8.66263e-06   -0.0047146 
         500     0.294433     0.103746  1.01958e-05   -0.0047146 
         500     0.318456     0.112234  1.19229e-05  -0.00471459 
         500     0.343432     0.121061  1.38607e-05  -0.00471459 
         500     0.369339      0.13022  1.60239e-05  -0.00471458 
         500     0.396189     0.139713  1.84301e-05  -0.00471458 
         500     0.423981     0.149541   2.1096e-05  -0.00471457 
         500     0.452726     0.159706  2.40401e-05  -0.00471456 
         500     0.482403       0.1702  2.72787e-05  -0.00471455 
         500     0.513021     0.181026  3.08316e-05  -0.00471455 
         500     0.544594     0.192187  3.47194e-05  -0.00471454 
         500     0.577096     0.203672   3.8957e-05  -0.00471453 
         500     0.610541     0.215484   4.3566e-05  -0.00471453 
         500     0.644927      0.22762  4.85694e-05  -0.00471452 
         500      0.68027     0.240083  5.39827e-05  -0.00471451 
         500     0.716541      0.25286  5.98263e-05   -0.0047145 
         500     0.753754     0.265951  6.61231e-05  -0.00471449 
         500     0.791909     0.279352  7.28921e-05  -0.00471448 
         500     0.831022     0.293064  8.01547e-05  -0.00471447 
         500     0.871061     0.307069  8.79244e-05  -0.00471447 
         500     0.912043     0.321367  9.62244e-05  -0.00471446 
         500     0.953966     0.335951  0.000105074  -0.00471445 
         500     0.996849     0.350818  0.000114496  -0.00471444 
         500      1.04066     0.365946  0.000124498  -0.00471443 
         500      1.08541     0.381332  0.000135101  -0.00471442 
         500      1.13112      0.39697  0.000146321   -0.0047144 
         500      1.17775     0.412837  0.000158164  -0.00471439 
         500      1.22533     0.428922  0.000170649  -0.00471438 
         500      1.27384     0.445213  0.000183788  -0.00471437 
         500      1.32333     0.461698  0.000197578  -0.00471436 
         500      1.37373     0.478347  0.000212041  -0.00471435 
         500      1.42507     0.495147  0.000227168  -0.00471434 
         500      1.47736     0.512077  0.000242954  -0.00471432 
         500      1.53061     0.529122  0.000259405  -0.00471431 
         500      1.58478     0.546244  0.000276503   -0.0047143 
         500      1.63989     0.563425  0.000294246  -0.00471428 
         500      1.69595     0.580638  0.000312621  -0.00471427 
         500      1.75297     0.597861  0.000331615  -0.00471426 
         500      1.81091     0.615051   0.00035119  -0.00471424 
         500      1.86979     0.632185  0.000371323  -0.00471423 
         500      1.92964     0.649236  0.000391989  -0.00471421 
         500       1.9904     0.666158   0.00041313   -0.0047142 
         500      2.05211     0.682924  0.000434713  -0.00471418 
         500      2.11476     0.699499  0.000456689  -0.00471416 
         500      2.17838     0.715854  0.000479018  -0.00471415 
         500      2.24291     0.731942  0.000501625  -0.00471413 
         500      2.30839     0.747733  0.000524461  -0.00471412 
         500       2.3748     0.763192   0.00054746  -0.00471411 
         500      2.44219     0.778291  0.000570561  -0.00471409 
         500      2.51049     0.792985  0.000593669  -0.00471408 
         500      2.57974     0.807248  0.000616714  -0.00471408 
         500      2.64993     0.821049  0.000639615  -0.00471408 
         500      2.72108     0.834367  0.000662307   -0.0047141 
         500      2.79315     0.847164  0.000684681  -0.00471412 
         500      2.86617     0.859423  0.000706816   -0.0047141 
         500      2.94012     0.871122  0.000728527  -0.00471406 
         500      3.01505     0.882253  0.000749622  -0.00471401 
         500      3.09089     0.892791  0.000770131   -0.0047139 
         500      3.16767     0.902732  0.000789899  -0.00471386 
         500      3.24542     0.912074  0.000808977  -0.00471385 
         500      3.32409     0.920807  0.000827326  -0.00471384 
         500       3.4037     0.928939  0.000844878  -0.00471381 
         500      3.48425     0.936475  0.000861553  -0.00471378 
         500      3.56577     0.943429  0.000877304  -0.00471375 
         500       3.6482     0.949809  0.000892102  -0.00471372 
