Variables = x, y, u, v, p

Zone, I=1000, F=POINT
         500            0  4.64375e-15 -2.90093e-25  -0.00551818 
         500      7.5e-05  2.61271e-05   6.6788e-13  -0.00551818 
         500       0.0003  0.000104509  1.07056e-11  -0.00551818 
         500     0.000676  0.000235494  5.43757e-11  -0.00551818 
         500     0.001202  0.000418737  1.71936e-10  -0.00551818 
         500     0.001878  0.000654239  4.19726e-10  -0.00551818 
         500     0.002705  0.000942352   8.7079e-10  -0.00551818 
         500     0.003682   0.00128273  1.61341e-09  -0.00551818 
         500     0.004809   0.00167538  2.75221e-09  -0.00551818 
         500     0.006087   0.00212065  4.40932e-09  -0.00551818 
         500     0.007515   0.00261821  6.72069e-09  -0.00551818 
         500     0.009093   0.00316805  9.83921e-09  -0.00551817 
         500     0.010821   0.00377018  1.39338e-08  -0.00551817 
         500       0.0127   0.00442496  1.91925e-08  -0.00551817 
         500     0.014729   0.00513206  2.58142e-08  -0.00551817 
         500     0.016908   0.00589147   3.4016e-08  -0.00551817 
         500     0.019238   0.00670355  4.40358e-08  -0.00551817 
         500     0.021718   0.00756798  5.61193e-08  -0.00551817 
         500     0.024348   0.00848475  7.05318e-08  -0.00551817 
         500     0.027129   0.00945423   8.7561e-08  -0.00551817 
         500      0.03006    0.0104761  1.07499e-07  -0.00551817 
         500     0.033141    0.0115503   1.3066e-07  -0.00551817 
         500     0.036372     0.012677  1.57372e-07  -0.00551817 
         500     0.039754    0.0138564   1.8799e-07  -0.00551817 
         500     0.043286    0.0150882  2.22869e-07  -0.00551817 
         500     0.046968    0.0163724  2.62384e-07  -0.00551817 
         500     0.050801    0.0177095  3.06942e-07  -0.00551816 
         500     0.054784    0.0190991  3.56942e-07  -0.00551816 
         500     0.058917    0.0205411  4.12808e-07  -0.00551816 
         500     0.063201     0.022036  4.74998e-07  -0.00551816 
         500     0.067635    0.0235834  5.43954e-07  -0.00551816 
         500     0.072219    0.0251833   6.2015e-07  -0.00551816 
         500     0.076953    0.0268359  7.04074e-07  -0.00551816 
         500     0.081838    0.0285413   7.9625e-07  -0.00551816 
         500     0.086873    0.0302994  8.97184e-07  -0.00551816 
         500     0.092058      0.03211  1.00741e-06  -0.00551816 
         500     0.097394    0.0339737   1.1275e-06  -0.00551815 
         500      0.10288      0.03589    1.258e-06  -0.00551815 
         500     0.108516     0.037859  1.39951e-06  -0.00551815 
         500     0.114303    0.0398811  1.55264e-06  -0.00551815 
         500      0.12024    0.0419559  1.71799e-06  -0.00551815 
         500     0.126327    0.0440835  1.89619e-06  -0.00551815 
         500     0.132564    0.0462638  2.08787e-06  -0.00551815 
         500     0.138952    0.0484973  2.29375e-06  -0.00551814 
         500      0.14549    0.0507836  2.51445e-06  -0.00551814 
         500     0.152178    0.0531227  2.75069e-06  -0.00551814 
         500     0.159017     0.055515   3.0032e-06  -0.00551814 
         500     0.166006    0.0579603  3.27268e-06  -0.00551814 
         500     0.173145    0.0604584  3.55986e-06  -0.00551814 
         500     0.180435    0.0630098  3.86556e-06  -0.00551813 
         500     0.187875    0.0656142  4.19049e-06  -0.00551813 
         500     0.195465    0.0682716  4.53544e-06  -0.00551813 
         500     0.203205    0.0709819  4.90121e-06  -0.00551813 
         500     0.211096    0.0737456  5.28866e-06  -0.00551813 
         500     0.219137    0.0765624  5.69858e-06  -0.00551812 
         500     0.227328    0.0794322  6.13182e-06  -0.00551812 
         500      0.23567    0.0823554  6.58931e-06  -0.00551812 
