Variables = x, y, u, v, p

Zone, I=800, F=POINT
          20            0  3.26216e-18 -3.57213e-26   0.00180924 
          20     0.000234  0.000165005  6.18805e-10   0.00180925 
          20     0.000939  0.000662021  9.97767e-09   0.00180926 
          20     0.002113   0.00148929  5.04718e-08   0.00180929 
          20     0.003759   0.00264835  1.59435e-07   0.00180933 
          20     0.005872   0.00413488  3.88081e-07   0.00180937 
          20     0.008457   0.00595135  8.02481e-07   0.00180943 
          20      0.01151   0.00809367  1.48099e-06    0.0018095 
          20     0.015036    0.0105639  2.51658e-06   0.00180957 
          20     0.019031    0.0133573  4.01198e-06   0.00180966 
          20     0.023493    0.0164708  6.08052e-06   0.00180975 
          20     0.028429    0.0199067  8.85002e-06   0.00180985 
          20     0.033831    0.0236572  1.24489e-05   0.00180996 
          20     0.039706    0.0277242  1.70218e-05   0.00181008 
          20     0.046047    0.0320999  2.27087e-05    0.0018102 
          20     0.052863     0.036787  2.96674e-05   0.00181033 
          20      0.06015    0.0417791   3.8046e-05   0.00181046 
          20       0.0679    0.0470666  4.79847e-05    0.0018106 
          20     0.076126    0.0526539  5.96477e-05   0.00181074 
          20     0.084816    0.0585279    7.316e-05   0.00181089 
          20     0.093982    0.0646914  8.86719e-05   0.00181103 
          20     0.103611    0.0711297  0.000106283   0.00181118 
          20     0.113718    0.0778464  0.000126125   0.00181134 
          20     0.124286    0.0848231  0.000148249   0.00181149 
          20     0.135333    0.0920642  0.000172751   0.00181165 
          20      0.14685    0.0995554  0.000199642    0.0018118 
          20     0.158827     0.107281  0.000228896   0.00181196 
          20     0.171284     0.115245  0.000260518   0.00181213 
          20     0.184201     0.123425  0.000294372   0.00181229 
          20     0.197599     0.131822  0.000330377   0.00181246 
          20     0.211455     0.140411  0.000368286   0.00181264 
          20     0.225792     0.149196  0.000407925   0.00181282 
          20       0.2406     0.158159  0.000448975   0.00181301 
          20     0.255865     0.167279  0.000491036   0.00181321 
          20     0.271613     0.176562  0.000533791   0.00181343 
          20     0.287818     0.185982  0.000576727   0.00181366 
          20     0.304506     0.195546  0.000619438   0.00181391 
          20      0.32165     0.205229  0.000661352   0.00181418 
          20     0.339278     0.215043   0.00070203   0.00181447 
          20     0.357377     0.224977  0.000740945   0.00181478 
          20      0.37593      0.23502  0.000777603   0.00181512 
          20     0.394968     0.245192  0.000811667   0.00181548 
          20     0.414461     0.255482  0.000842765   0.00181587 
          20      0.43444     0.265915  0.000870732   0.00181629 
          20     0.454872     0.276483  0.000895424   0.00181673 
          20     0.475791     0.287219   0.00091691    0.0018172 
          20     0.497163     0.298118  0.000935311   0.00181769 
          20     0.519021     0.309214  0.000950934    0.0018182 
          20      0.54135     0.320515   0.00096415   0.00181873 
          20     0.564131     0.332026  0.000975421   0.00181927 
          20       0.5874     0.343779  0.000985287   0.00181983 
          20     0.611121     0.355766  0.000994277   0.00182039 
          20      0.63533     0.368012   0.00100293   0.00182096 
          20      0.65999     0.380502   0.00101173   0.00182153 
          20     0.685139     0.393254   0.00102107    0.0018221 
          20     0.710759     0.406256   0.00103129   0.00182266 
          20     0.736828     0.419487   0.00104264   0.00182321 
          20     0.763387     0.432959   0.00105527   0.00182374 
